Serial number,Case no.,Slide number,Cells, ,Area,Mean,Min,Max,Perim.,Circ.,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
15,856,S3,C2,2,149.225,157.518,135,194,54.226,0.638,20.232,23505.682,455070,2281,456,14.973,9.424,2.408,0.415,0.868
16,856,S3,C3,3,108.523,151.172,123,182,41.178,0.804,14.131,16405.579,317612,2068,586,117.801,10,1.362,0.734,0.962
17,856,S3,C4,4,103.771,144.512,120,176,42.206,0.732,14.237,14996.074,290324,2017,644,73.301,9.895,1.476,0.677,0.95
18,856,S3,C5,5,100.465,160.714,141,185,40.881,0.755,15.654,16146.074,312588,2310,505,25.821,8.662,1.779,0.562,0.92
19,856,S3,C6,6,89.36,173.961,158,196,36.576,0.839,12.239,15545.041,300952,2284,1734,68.199,10,1.08,0.926,0.94
20,856,S4,C1,1,110.692,182.089,167,210,40.259,0.858,13.252,20155.785,390216,1322,315,120.964,11.364,1.132,0.884,0.956
21,856,S4,C2,2,136.725,193.522,176,214,44.394,0.872,14.524,26459.298,512252,1654,490,69.864,12.473,1.157,0.864,0.959
22,856,S4,C3,3,97.056,157.779,141,182,62.527,0.312,14.478,15313.326,296466,1273,506,137.545,9.668,1.576,0.634,0.894
23,856,S4,C4,4,115.754,136.621,109,184,48.104,0.629,15.214,15814.463,306168,443,1160,103.829,11.685,1.314,0.761,0.939
24,856,S4,C5,5,106.715,145.336,122,174,54.022,0.46,14.087,15509.556,300265,564,1026,169.778,9.954,1.435,0.697,0.951
25,856,S4,C6,6,157.49,194.286,173,215,49.394,0.811,16.104,30597.986,592377,1662,496,81.069,13.08,1.192,0.839,0.963
26,881,S1,C1,1,188.43,177.931,160,228,56.653,0.738,19.297,33527.479,649092,825,906,32.005,15.073,1.412,0.708,0.914
27,881,S1,C2,2,143.853,168.11,148,207,45.846,0.86,15.093,24183.11,468185,917,956,108.435,12.831,1.139,0.878,0.951
